DOP, Force
0.00203962, 0.0343709
0.00203962, 0.0343709
0.00203962, 0.0343709
0.00203962, 0.0343709
0.00203962, 0.0343709
0.00209025, 0.0352114
0.00209025, 0.0352114
0.00209025, 0.0352114
0.00209025, 0.0352114
0.00209025, 0.0352114
0.00217468, 0.0365929
0.00217468, 0.0365929
0.00217468, 0.0365929
0.00217468, 0.0365929
0.00217468, 0.0365929
0.00223986, 0.0376717
0.00223986, 0.0376717
0.00223986, 0.0376717
0.00223986, 0.0376717
0.00223986, 0.0376717
0.00229088, 0.0385209
0.00229088, 0.0385209
0.00229088, 0.0385209
0.00229088, 0.0385209
0.00229088, 0.0385209
0.00233192, 0.039209
0.00233192, 0.039209
0.00233192, 0.039209
0.00233192, 0.039209
0.00233192, 0.039209
0.00233192, 0.039209
0.00236399, 0.0397519
0.00236399, 0.0397519
0.00236399, 0.0397519
0.00236399, 0.0397519
0.00236399, 0.0397519
0.00243116, 0.0408577
0.00243116, 0.0408577
0.00243116, 0.0408577
0.00243116, 0.0408577
0.00243116, 0.0408577
0.00252245, 0.0423567
0.00252245, 0.0423567
0.00252245, 0.0423567
0.00252245, 0.0423567
0.00252245, 0.0423567
0.00263087, 0.0441364
0.00263087, 0.0441364
0.00263087, 0.0441364
0.00263087, 0.0441364
0.00263087, 0.0441364
0.00279695, 0.0468545
0.00279695, 0.0468545
0.00279695, 0.0468545
0.00279695, 0.0468545
0.00279695, 0.0468545
0.00300688, 0.0502993
0.00300688, 0.0502993
0.00300688, 0.0502993
0.00300688, 0.0502993
0.00300688, 0.0502993
0.00316358, 0.0528936
0.00316358, 0.0528936
0.00316358, 0.0528936
0.00316358, 0.0528936
0.00316358, 0.0528936
0.00316358, 0.0528936
0.00333193, 0.0556749
0.00333193, 0.0556749
0.00333193, 0.0556749
0.00333193, 0.0556749
0.00333193, 0.0556749
0.00346657, 0.057913
0.00346657, 0.057913
0.00346657, 0.057913
0.00346657, 0.057913
0.00346657, 0.057913
0.00362029, 0.0604595
0.00362029, 0.0604595
0.00362029, 0.0604595
0.00362029, 0.0604595
0.00362029, 0.0604595
0.00374478, 0.0625332
0.00374478, 0.0625332
0.00374478, 0.0625332
0.00374478, 0.0625332
0.00374478, 0.0625332
0.00384906, 0.0642728
0.00384906, 0.0642728
0.00384906, 0.0642728
0.00384906, 0.0642728
0.00384906, 0.0642728
0.0039348, 0.0657071
0.0039348, 0.0657071
0.0039348, 0.0657071
0.0039348, 0.0657071
0.0039348, 0.0657071
0.00400424, 0.0668722
0.00400424, 0.0668722
0.00400424, 0.0668722
0.00400424, 0.0668722
0.00400424, 0.0668722
0.00400424, 0.0668722
0.00406119, 0.0678307
0.00406119, 0.0678307
0.00406119, 0.0678307
0.00406119, 0.0678307
0.00406119, 0.0678307
0.0041051, 0.0685729
0.0041051, 0.0685729
0.0041051, 0.0685729
0.0041051, 0.0685729
0.0041051, 0.0685729
0.00413827, 0.0691367
0.00413827, 0.0691367
0.00413827, 0.0691367
0.00413827, 0.0691367
0.00413827, 0.0691367
0.00416125, 0.0695318
0.00416125, 0.0695318
0.00416125, 0.0695318
0.00416125, 0.0695318
0.00416125, 0.0695318
0.00417687, 0.0698038
0.00417687, 0.0698038
0.00417687, 0.0698038
0.00417687, 0.0698038
0.00417687, 0.0698038
0.00418545, 0.0699586
0.00418545, 0.0699586
0.00418545, 0.0699586
0.00418545, 0.0699586
0.00418545, 0.0699586
0.00423096, 0.0707121
0.00423096, 0.0707121
0.00423096, 0.0707121
0.00423096, 0.0707121
0.00423096, 0.0707121
0.00423096, 0.0707121
0.0043426, 0.0725472
0.0043426, 0.0725472
0.0043426, 0.0725472
0.0043426, 0.0725472
0.0043426, 0.0725472
0.00441943, 0.0738231
0.00441943, 0.0738231
0.00441943, 0.0738231
0.00441943, 0.0738231
0.00441943, 0.0738231
0.00456057, 0.076143
0.00456057, 0.076143
0.00456057, 0.076143
0.00456057, 0.076143
0.00456057, 0.076143
0.00466372, 0.0778541
0.00466372, 0.0778541
0.00466372, 0.0778541
0.00466372, 0.0778541
0.00466372, 0.0778541
0.00478501, 0.079857
0.00478501, 0.079857
0.00478501, 0.079857
0.00478501, 0.079857
0.00478501, 0.079857
0.00487793, 0.0814006
0.00487793, 0.0814006
0.00487793, 0.0814006
0.00487793, 0.0814006
0.00487793, 0.0814006
0.00503612, 0.0840086
0.00503612, 0.0840086
0.00503612, 0.0840086
0.00503612, 0.0840086
0.00503612, 0.0840086
0.00503612, 0.0840086
0.00515718, 0.0860192
0.00515718, 0.0860192
0.00515718, 0.0860192
0.00515718, 0.0860192
0.00515718, 0.0860192
0.00529621, 0.088319
0.00529621, 0.088319
0.00529621, 0.088319
0.00529621, 0.088319
0.00529621, 0.088319
0.00540618, 0.0901472
0.00540618, 0.0901472
0.00540618, 0.0901472
0.00540618, 0.0901472
0.00540618, 0.0901472
0.00557965, 0.0930131
0.00557965, 0.0930131
0.00557965, 0.0930131
0.00557965, 0.0930131
0.00557965, 0.0930131
0.00571275, 0.0952266
0.00571275, 0.0952266
0.00571275, 0.0952266
0.00571275, 0.0952266
0.00571275, 0.0952266
0.00586146, 0.0976912
0.00586146, 0.0976912
0.00586146, 0.0976912
0.00586146, 0.0976912
0.00586146, 0.0976912
0.00597778, 0.0996272
0.00597778, 0.0996272
0.00597778, 0.0996272
0.00597778, 0.0996272
0.00597778, 0.0996272
0.00597778, 0.0996272
0.00607139, 0.101187
0.00607139, 0.101187
0.00607139, 0.101187
0.00607139, 0.101187
0.00607139, 0.101187
0.00614697, 0.102448
0.00614697, 0.102448
0.00614697, 0.102448
0.00614697, 0.102448
0.00614697, 0.102448
0.00620861, 0.103479
0.00620861, 0.103479
0.00620861, 0.103479
0.00620861, 0.103479
0.00620861, 0.103479
0.00638819, 0.106443
0.00638819, 0.106443
0.00638819, 0.106443
0.00638819, 0.106443
0.00638819, 0.106443
0.00655988, 0.109293
0.00655988, 0.109293
0.00655988, 0.109293
0.00655988, 0.109293
0.00655988, 0.109293
0.00673339, 0.11217
0.00673339, 0.11217
0.00673339, 0.11217
0.00673339, 0.11217
0.00673339, 0.11217
0.00686732, 0.114399
0.00686732, 0.114399
0.00686732, 0.114399
0.00686732, 0.114399
0.00686732, 0.114399
0.00686732, 0.114399
0.00697315, 0.116161
0.00697315, 0.116161
0.00697315, 0.116161
0.00697315, 0.116161
0.00697315, 0.116161
0.00705976, 0.117606
0.00705976, 0.117606
0.00705976, 0.117606
0.00705976, 0.117606
0.00705976, 0.117606
0.00713093, 0.118795
0.00713093, 0.118795
0.00713093, 0.118795
0.00713093, 0.118795
0.00713093, 0.118795
0.00718928, 0.11977
0.00718928, 0.11977
0.00718928, 0.11977
0.00718928, 0.11977
0.00718928, 0.11977
0.00727962, 0.12127
0.00727962, 0.12127
0.00727962, 0.12127
0.00727962, 0.12127
0.00727962, 0.12127
0.00734509, 0.122364
0.00734509, 0.122364
0.00734509, 0.122364
0.00734509, 0.122364
0.00734509, 0.122364
0.00743527, 0.123859
0.00743527, 0.123859
0.00743527, 0.123859
0.00743527, 0.123859
0.00743527, 0.123859
0.00743527, 0.123859
0.00749998, 0.124939
0.00749998, 0.124939
0.00749998, 0.124939
0.00749998, 0.124939
0.00749998, 0.124939
0.00754757, 0.125735
